2017-11-26 23:43:25,934929660873281536,2017-11-26 23:39:35
2017-11-26 23:34:03,934926881446617089,2017-11-26 23:28:33
2017-11-26 23:32:20,934926667528617985,2017-11-26 23:27:42
2017-11-26 23:29:31,934926376884346881,2017-11-26 23:26:32
2017-11-26 23:25:00,934924852623839232,2017-11-26 23:20:29
2017-11-26 23:19:54,934922845326540801,2017-11-26 23:12:31
2017-11-26 23:19:05,934923815242436610,2017-11-26 23:16:22
2017-11-26 23:18:14,934922715328405506,2017-11-26 23:12:00
2017-11-26 23:15:10,934922730947801090,2017-11-26 23:12:03
2017-11-26 23:10:36,934921507368611840,2017-11-26 23:07:12
2017-11-26 22:45:33,934908464471478272,2017-11-26 22:15:22
2017-11-26 22:36:06,934908659536187392,2017-11-26 22:16:08
2017-11-26 22:03:57,934904850185424896,2017-11-26 22:01:00
2017-11-26 21:14:34,934892943755722752,2017-11-26 21:13:41
2017-11-26 21:08:53,934891408586039296,2017-11-26 21:07:35
2017-11-26 21:05:19,934890422077288448,2017-11-26 21:03:40
2017-11-26 20:58:58,934888071136395264,2017-11-26 20:54:20
2017-11-26 20:50:47,934886121921699840,2017-11-26 20:46:35
2017-11-26 19:18:40,934863679920603136,2017-11-26 19:17:24
2017-11-26 19:02:05,934859441765203968,2017-11-26 19:00:34
2017-11-26 18:59:35,934858333667782656,2017-11-26 18:56:10
2017-11-26 18:56:02,934856405319786496,2017-11-26 18:48:30
2017-11-26 18:55:15,934857339969998848,2017-11-26 18:52:13
2017-11-26 18:52:24,934856680629661696,2017-11-26 18:49:36
2017-11-26 18:47:42,934855685359116288,2017-11-26 18:45:38
2017-11-26 18:46:43,934855008490622976,2017-11-26 18:42:57
2017-11-26 18:24:26,934849709218263040,2017-11-26 18:21:54
2017-11-26 18:21:02,934848749825802240,2017-11-26 18:18:05
2017-11-26 18:12:58,934847043436126208,2017-11-26 18:11:18
2017-11-26 17:59:38,934843692975718400,2017-11-26 17:57:59
2017-11-26 17:56:19,934842972612411394,2017-11-26 17:55:07
2017-11-26 17:49:10,934840756761591808,2017-11-26 17:46:19
2017-11-26 17:42:09,934839287069020160,2017-11-26 17:40:29
2017-11-26 17:40:10,934838109832753152,2017-11-26 17:35:48
2017-11-26 17:32:55,934837020928614400,2017-11-26 17:31:28
2017-11-26 17:30:54,934835777724235776,2017-11-26 17:26:32
2017-11-26 17:24:57,934834812761681920,2017-11-26 17:22:42
2017-11-26 16:39:00,934821269941338117,2017-11-26 16:28:53
2017-11-26 16:19:34,934817968919158785,2017-11-26 16:15:46
2017-11-26 16:00:26,934813450156457984,2017-11-26 15:57:49
2017-11-26 15:59:05,934811722518429696,2017-11-26 15:50:57
2017-11-26 15:42:20,934738611307667456,2017-11-26 11:00:26
2017-11-26 15:41:31,934808482393481216,2017-11-26 15:38:04
2017-11-26 15:34:37,934674756799827968,2017-11-26 06:46:42
2017-11-26 15:33:12,934708557932503041,2017-11-26 09:01:00
2017-11-26 05:55:21,934659186901708800,2017-11-26 05:44:49
2017-11-26 05:41:32,934657966413725696,2017-11-26 05:39:58
2017-11-26 05:38:20,934657163934367744,2017-11-26 05:36:47
2017-11-26 05:35:43,934655431758065664,2017-11-26 05:29:54
2017-11-26 05:28:04,934652754055671808,2017-11-26 05:19:16
